"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J7";"RJ14_Connfly_DS1133-S4_Horizontal";1;"Anemometer";;;
2;"J6";"NS-Tech_Grove_1x04_P2mm_Vertical";1;"DHT22";;;
3;"J5";"NS-Tech_Grove_1x04_P2mm_Vertical";1;"Sound Sensor";;;
4;"H4,H3,H2,H1";"MountingHole_3.2mm_M3_Pad";4;"MountingHole";;;
5;"U3";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
6;"U1";"DIP-16_W7.62mm_LongPads";1;"4020";;;
7;"SW3";"SW_PUSH_6mm";1;"RESET";;;
8;"SW2";"SW_PUSH_6mm";1;"BOOT";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10kR";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"620";;;
11;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
12;"C4,C2,C1";"C_Disc_D4.3mm_W1.9mm_P5.00mm";3;"0.1uF";;;
13;"C3";"CP_Radial_D6.3mm_P2.50mm";1;"22uF";;;
14;"TP7";"TestPoint_Pad_1.0x1.0mm";1;"EN";;;
15;"TP6";"TestPoint_Pad_1.0x1.0mm";1;"Anemometer_Out";;;
16;"TP5";"TestPoint_Pad_1.0x1.0mm";1;"supply_on";;;
17;"TP4";"TestPoint_Pad_1.0x1.0mm";1;"VDD";;;
18;"TP3";"TestPoint_Pad_1.0x1.0mm";1;"GND";;;
19;"TP2";"TestPoint_Pad_1.0x1.0mm";1;"Vin_Buck";;;
20;"TP1";"TestPoint_Pad_1.0x1.0mm";1;"Batt_status";;;
21;"SW1";"SW_CuK_JS202011AQN_DPDT_Angled";1;"SW_SPDT";;;
22;"U2";"DIP-6_W7.62mm_LongPads";1;"4N25";;;
23;"J4";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Odd_Even";;;
24;"J3";"PinHeader_1x01_P2.54mm_Vertical";1;"Battery Status";;;
25;"J1";"JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical";1;"Charge Controller";;;
26;"J2";"PinSocket_1x04_P2.54mm_Vertical";1;"BuckConverter";;;
